party,state,representative,sector,industry,ticker,count
Republican,WV,Carol Devine Miller,Finance,Accident &Health Insurance,AFL,1
Democrat,MN,Dean Phillips,Finance,Accident &Health Insurance,AFL,1
Democrat,CA,Gilbert Cisneros,Finance,Accident &Health Insurance,AFL,1
Republican,FL,John Rutherford,Finance,Accident &Health Insurance,AFL,1
Republican,GA,Marjorie Taylor Greene,Finance,Accident &Health Insurance,AFL,1
Democrat,CA,Sara Jacobs,Finance,Accident &Health Insurance,AFL,1
Democrat,CA,Gilbert Cisneros,Finance,Accident &Health Insurance,UNM,1
Democrat,CA,Gilbert Cisneros,Consumer Discretionary,Advertising,IPG,2
Democrat,CA,Sara Jacobs,Consumer Discretionary,Advertising,IPG,1
Democrat,CT,Joe Courtney,Consumer Discretionary,Advertising,MFC,1
Republican,FL,John Rutherford,Consumer Discretionary,Advertising,MFC,1
Democrat,NJ,Josh Gottheimer,Consumer Discretionary,Advertising,MFC,1
Republican,NC,Virginia Foxx,Consumer Discretionary,Advertising,MFC,3
Democrat,MN,Dean Phillips,Consumer Discretionary,Advertising,OMC,1
Democrat,CA,Gilbert Cisneros,Consumer Discretionary,Advertising,OMC,2
Democrat,CT,John B. Larson,Consumer Discretionary,Advertising,OMC,1
Democrat,NJ,Josh Gottheimer,Finance,Advertising,EFX,4
Democrat,FL,Lois Frankel,Finance,Advertising,EFX,2
Republican,MI,Peter Meijer,Finance,Advertising,EFX,1
Democrat,NV,Susie Lee,Finance,Advertising,EFX,2
Democrat,CA,Nancy Pelosi,Finance,Advertising,MORN,1
Democrat,VA,"Donald S. Beyer, Jr.",Finance,Advertising,MSCI,10
Democrat,CA,Gilbert Cisneros,Finance,Advertising,MSCI,5
Democrat,NJ,Josh Gottheimer,Finance,Advertising,MSCI,1
Democrat,OR,Kurt Schrader,Finance,Advertising,MSCI,1
Republican,MI,Peter Meijer,Finance,Advertising,MSCI,1
Democrat,NV,Susie Lee,Finance,Advertising,MSCI,2
Jackson,NJ,Thomas H. Kean,Finance,Advertising,SPGi,1
Republican,MI,Peter Meijer,Finance,Advertising,TRU,1
Democrat,NV,Susie Lee,Finance,Advertising,TRU,3
Democrat,CA,Zoe Lofgren,Finance,Advertising,TRU,1
Democrat,CA,Alan S. Lowenthal,Capital Goods,Aerospace,BA,5
Republican,UT,Blake Moore,Capital Goods,Aerospace,BA,1
Republican,OH,Bob Gibbs,Capital Goods,Aerospace,BA,1
Republican,TX,Dan Crenshaw,Capital Goods,Aerospace,BA,2
Democrat,CA,Gilbert Cisneros,Capital Goods,Aerospace,BA,3
Republican,KY,John A. Yarmuth,Capital Goods,Aerospace,BA,1
Democrat,NJ,Josh Gottheimer,Capital Goods,Aerospace,BA,4
Republican,TX,Kenny Marchant,Capital Goods,Aerospace,BA,2
Republican,OK,Kevin Hern,Capital Goods,Aerospace,BA,3
Democrat,IL,Marie Newman,Capital Goods,Aerospace,BA,2
Republican,ID,Michael K. Simpson,Capital Goods,Aerospace,BA,1
Republican,CA,Mike Garcia,Capital Goods,Aerospace,BA,4
Republican,TX,Patrick Fallon,Capital Goods,Aerospace,BA,2
Republican,MI,Peter Meijer,Capital Goods,Aerospace,BA,1
Democrat,TN,Steve Cohen,Capital Goods,Aerospace,BA,1
Democrat,NY,Thomas Suozzi,Capital Goods,Aerospace,BA,4
Democrat,MA,William R. Keating,Capital Goods,Aerospace,BA,2
Democrat,MN,Dean Phillips,Capital Goods,Aerospace,HON,5
Republican,MI,Fred Upton,Capital Goods,Aerospace,HON,1
Democrat,CT,Joe Courtney,Capital Goods,Aerospace,HON,2
Republican,KY,John A. Yarmuth,Capital Goods,Aerospace,HON,2
Republican,UT,John Curtis,Capital Goods,Aerospace,HON,2
Democrat,NJ,Josh Gottheimer,Capital Goods,Aerospace,HON,2
Democrat,MA,Katherine M. Clark,Capital Goods,Aerospace,HON,2
Republican,OK,Kevin Hern,Capital Goods,Aerospace,HON,8
Democrat,WA,Kim Schrier,Capital Goods,Aerospace,HON,1
Democrat,FL,Lois Frankel,Capital Goods,Aerospace,HON,2
Republican,TX,Michael T. McCaul,Capital Goods,Aerospace,HON,6
Democrat,NJ,Mikie Sherrill,Capital Goods,Aerospace,HON,1
Republican,VA,Robert J. Wittman,Capital Goods,Aerospace,HON,1
Democrat,CA,Ro Khanna,Capital Goods,Aerospace,HON,2
Republican,KS,Ron Estes,Capital Goods,Aerospace,HON,2
Republican,UT,Blake Moore,Capital Goods,Aerospace,RTX,4
Republican,WV,David B. McKinley,Capital Goods,Aerospace,RTX,7
Democrat,NC,David E. Price,Capital Goods,Aerospace,RTX,1
Democrat,PA,Dwight Evans,Capital Goods,Aerospace,RTX,1
Democrat,OR,Earl Blumenauer,Capital Goods,Aerospace,RTX,3
Republican,FL,Francis Rooney,Capital Goods,Aerospace,RTX,1
Democrat,CA,Gilbert Cisneros,Capital Goods,Aerospace,RTX,5
Republican,UT,John Curtis,Capital Goods,Aerospace,RTX,2
Republican,FL,John Rutherford,Capital Goods,Aerospace,RTX,1
Republican,OK,Kevin Hern,Capital Goods,Aerospace,RTX,8
Republican,TX,K. Michael Conaway,Capital Goods,Aerospace,RTX,1
Republican,MI,Peter Meijer,Capital Goods,Aerospace,RTX,1
Democrat,CA,Gilbert Cisneros,Industrials,Aerospace,AIR,1
Democrat,OR,Earl Blumenauer,Industrials,Aerospace,ERJ,2
Republican,CA,Mike Garcia,Industrials,Aerospace,TXT,1
Democrat,MN,Dean Phillips,Basic Industries,Agricultural Chemicals,MOS,1
Democrat,CA,Gilbert Cisneros,Basic Industries,Agricultural Chemicals,MOS,3
Democrat,MA,Katherine M. Clark,Basic Industries,Agricultural Chemicals,MOS,2
Republican,MI,Peter Meijer,Basic Industries,Agricultural Chemicals,MOS,1
Republican,NC,Virginia Foxx,Basic Industries,Agricultural Chemicals,MOS,6
Democrat,NV,Susie Lee,Basic Industries,Agricultural Chemicals,SMG,3
Democrat,FL,Donna Shalala,Industrials,Agricultural Chemicals,CF,2
Democrat,CA,Gilbert Cisneros,Industrials,Agricultural Chemicals,CF,2
Republican,NC,Virginia Foxx,Industrials,Agricultural Chemicals,CF,5
Democrat,NV,Susie Lee,Industrials,Agricultural Chemicals,FMC,2
Republican,MT,Greg Gianforte,Industrials,Agricultural Chemicals,ICL,1
Republican,TX,Patrick Fallon,Consumer Discretionary,Air Freight/Delivery Services,AAl,1
Democrat,CA,Gilbert Cisneros,Consumer Discretionary,Air Freight/Delivery Services,ALGT,1
Democrat,NJ,Josh Gottheimer,Consumer Discretionary,Air Freight/Delivery Services,ALGT,3
Democrat,FL,Donna Shalala,Consumer Discretionary,Air Freight/Delivery Services,ALK,2
Democrat,OR,Earl Blumenauer,Consumer Discretionary,Air Freight/Delivery Services,ALK,3
Republican,WI,Mike Gallagher,Consumer Discretionary,Air Freight/Delivery Services,ALK,1
Democrat,CA,Susan A. Davis,Consumer Discretionary,Air Freight/Delivery Services,ALK,1
Republican,IN,Victoria Spartz,Consumer Discretionary,Air Freight/Delivery Services,ALK,1
Republican,TX,Dan Crenshaw,Consumer Discretionary,Air Freight/Delivery Services,LUV,2
Democrat,MN,Dean Phillips,Consumer Discretionary,Air Freight/Delivery Services,LUV,6
Democrat,PA,Dwight Evans,Consumer Discretionary,Air Freight/Delivery Services,LUV,2
Democrat,CA,Gilbert Cisneros,Consumer Discretionary,Air Freight/Delivery Services,LUV,3
Democrat,RI,James R. Langevin,Consumer Discretionary,Air Freight/Delivery Services,LUV,1
Republican,KY,John A. Yarmuth,Consumer Discretionary,Air Freight/Delivery Services,LUV,1
Democrat,FL,Kathy Castor,Consumer Discretionary,Air Freight/Delivery Services,LUV,3
Democrat,NC,Kathy Manning,Consumer Discretionary,Air Freight/Delivery Services,LUV,1
Republican,TX,Kenny Marchant,Consumer Discretionary,Air Freight/Delivery Services,LUV,3
Republican,TX,K. Michael Conaway,Consumer Discretionary,Air Freight/Delivery Services,LUV,3
Republican,TX,Patrick Fallon,Consumer Discretionary,Air Freight/Delivery Services,LUV,7
Democrat,CA,Susan A. Davis,Consumer Discretionary,Air Freight/Delivery Services,LUV,1
Republican,IN,Victoria Spartz,Consumer Discretionary,Air Freight/Delivery Services,LUV,2
Democrat,FL,Donna Shalala,Consumer Discretionary,Air Freight/Delivery Services,SAVE,2
